date-time,author,message
2021-02-14 18:15:11,Filmi Raaj,bro my name is Vikram Singh Rajput
2021-02-14 18:15:17,emad zak,OR U WANT SOME VEDAS'S SCANDALS SIGMENT
2021-02-14 18:15:30,Sovereignmind 1969,THUNDERSTRUCK
2021-02-14 18:15:30,Sigment,Filmi Raaj. Sigmentwhy you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.
2021-02-14 18:15:35,Fighter G-X,Free Myanmar(Burma) Free Aung San Suu Kyi Help me Myanmar
2021-02-14 18:15:42,H A L O,"There's just too many emotionally damaged people who take out their fustrations on others and don't treat themselves in a healthy way, it becomes a downward spiral."
2021-02-14 18:15:48,BuTtoN eYeS,@emad zak 👀..!!....juss shaddup👀..!!
2021-02-14 18:15:57,Sigment,emad zak. No
2021-02-14 18:15:58,Filmi Raaj,sigment i am hindu
2021-02-14 18:16:11,emad zak,U DONT BELIEVE BEEF IS GOOD FOR U IS THAT NOT IN UR BELIEV!!
2021-02-14 18:16:16,Filmi Raaj,not a Christian
2021-02-14 18:16:18,m.iqbal fitrian,i know
2021-02-14 18:16:32,Mayhem posser,wow princess zonkey
2021-02-14 18:16:35,Fighter G-X,Free Myanmar(Burma) Free Aung San Suu Kyi Help me Myanmar Save Myanmar
2021-02-14 18:16:37,whistleblower gay biological man being feminine,beef ? stop telling me to be bad
2021-02-14 18:16:47,Claudio Pinilla Osorio,"hola, soy de Chile y busco alguna versión en español de Aljazeera, existe?"
2021-02-14 18:16:48,BuTtoN eYeS,@emad zak 👀..!!...go eat your carcass and shaddup👀..!!
2021-02-14 18:16:52,emad zak,@BuTtoN eYeS EAT MY SOCKS WHEN THEY READY AM STILL WEARING THEM
2021-02-14 18:16:58,H A L O,It's difficult for those people to climb out of their pit of despair.
2021-02-14 18:17:01,Sigment,beef adds up fats and u may have heart attack
2021-02-14 18:17:01,emad zak,@BuTtoN eYeS EAT MY SOCKS WHEN THEY READY AM STILL WEARING THEM
2021-02-14 18:17:30,m.iqbal fitrian,i think emanuel mercon that bad
2021-02-14 18:17:33,H A L O,"So use your words carefully, you don't know how it will affect someone else."
2021-02-14 18:17:40,m.iqbal fitrian,netral dog
2021-02-14 18:17:44,Ack Jass,"i am in too much pain and tired due to what bad things people have done to me in this life, to explain or expand on what i comment or declare "
2021-02-14 18:17:47,emad zak,@Sigment BEEF IS GOOD U DONT KNOW TILL U TRY AND U WILL BELIEVE TOO
2021-02-14 18:17:47,Sovereignmind 1969,"scaredcow, not sacred"
2021-02-14 18:17:55,Sigment,no one eats socks dude
2021-02-14 18:18:07,BuTtoN eYeS,@emad zak 👀..!!..your pride of eating carcasses is disgusting👀..!!
2021-02-14 18:18:08,emad zak,@BuTtoN eYeS EAT MY SOCKS WHEN THEY READY AM STILL WEARING THEM
2021-02-14 18:18:17,Mayhem posser,trans hockey dem future
2021-02-14 18:18:20,m.iqbal fitrian,i know brain all im water QANON
2021-02-14 18:18:21,emad zak,@BuTtoN eYeS EAT MY SOCKS WHEN THEY READY AM STILL WEARING THEM
2021-02-14 18:18:48,Filmi Raaj,iqbal nadia khan?
2021-02-14 18:18:49,emad zak,BEEF STEAK IS THE BEST U DUNG EATERS
2021-02-14 18:18:58,Sigment,emad zak. why you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.
2021-02-14 18:18:59,BabyGoran,yummmmy
2021-02-14 18:19:04,BuTtoN eYeS,@emad zak 👀..!!...you're spamming👀..!!
2021-02-14 18:19:13,m.iqbal fitrian,friend madrasati
2021-02-14 18:19:18,Mayhem posser,geek zonkey skyscrappers
2021-02-14 18:19:18,meriqa,dung was terribad jar ftw 
2021-02-14 18:19:19,H A L O,Just let it go.
2021-02-14 18:19:20,Zebra Time,@Mayhem posser check it out: debra
2021-02-14 18:19:23,emad zak,WHENN U EAT BEEF U WILL SEE AND U WILL BELIEVE 
2021-02-14 18:19:25,greg william,Demoncratic ReFaggican Government
2021-02-14 18:19:41,emad zak,@BuTtoN eYeS EAT MY SOCKS WHEN THEY READY AM STILL WEARING THEM
2021-02-14 18:20:04,emad zak,US HUT UP U FOOL WHO ARE U?
2021-02-14 18:20:05,Filmi Raaj,iqbal have you seen nadia khan in this live news channel
2021-02-14 18:20:12,Sigment,i will not eat anyone's socks for sure
2021-02-14 18:20:25,Mohamed Ali,Hi
2021-02-14 18:20:27,emad zak,U WIL EAT BEEF SOON
2021-02-14 18:20:30,emad zak,LOL
2021-02-14 18:20:35,greg william,I want ebola vaccine
2021-02-14 18:20:38,Sigment,how come
2021-02-14 18:20:47,meriqa,that place is really named after guinea pig? like cuisine i hear 
2021-02-14 18:20:47,Sovereignmind 1969,WATERED DOWNED DEPENDS ON Q
2021-02-14 18:20:49,BuTtoN eYeS,yes👀..!!...I have a US hut👀..!!
2021-02-14 18:20:53,Mohamed Ali,How i s the election vote
2021-02-14 18:20:54,Sigment,you will beat me to make me eat it?
2021-02-14 18:21:04,Alberto Bernal,WE ARE JUSTIFIED BY FAITH NIT BY THE WORKS OF THE LAW.....
2021-02-14 18:21:31,whistleblower gay biological man being feminine,and ebola disapeared after few year
2021-02-14 18:21:47,Habib Wazir,abolla virus.. is another virus which is to dangerous.
2021-02-14 18:21:51,Filmi Raaj,Pakistani Quran pado aantankvadi bano😁
2021-02-14 18:21:53,Sigment,#Alberto Bernal . Why there will be mention of 2nd coming when there was no 1st coming?
2021-02-14 18:21:57,meriqa,Cap Actually Makes the Statement less Impressionable. 
2021-02-14 18:22:01,Alberto Bernal,IM REALIZING THAT SOME WORKS AND FAITH CAN SAVE YOU...
2021-02-14 18:22:33,Sigment,mention of 2nd coming was mentioned after or during 1st coming.
2021-02-14 18:22:39,Sigment,it makes sense.
2021-02-14 18:22:46,Filmi Raaj,habiba nadia khan?
2021-02-14 18:22:46,emad zak,ANSWER THE DUNG EATER ALBERTO
2021-02-14 18:22:46,greg william,I wonder if ebola can spread by water droplets from sneezing like COVID19
2021-02-14 18:22:48,lennart hallberg,The Dems tried to stop investigating 2020 presidential elections and ensure that they don`t have to face too popular Trump at future elections. Those were the real reasons for their phony legal case.
2021-02-14 18:23:05,Habib Wazir,pata nahi lagtha
2021-02-14 18:23:08,N K nahid,Al Jazeera Brothers Bangladesh's situation is very bad Prime Minister is torturing the people Corruption cases are making people disappear Police are secretly taking people from house to house
2021-02-14 18:23:10,Sigment,emad zak. now you team up with #Alberto Bernal 
2021-02-14 18:23:16,Sigment,how come?
2021-02-14 18:23:20,emad zak,LOL
2021-02-14 18:23:24,Sigment,i am alone.
2021-02-14 18:23:24,Habib Wazir,ma abi aya
2021-02-14 18:23:26,greg william,But if you have ebola Youll be so sick You wont be able to spread it Unless somebody touches your fluids
2021-02-14 18:23:39,emad zak,NO AM GIVING U TO HIM 
2021-02-14 18:23:51,Filmi Raaj,habiba nadia aaj aai hi nahi?
2021-02-14 18:23:55,emad zak,LOL
2021-02-14 18:24:08,Sigment,emad zak. why you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.
2021-02-14 18:24:09,meriqa,second coming signifies a begining. Because biblical cataclysm. So not eternium. 
2021-02-14 18:24:13,Sovereignmind 1969,I have a biggest medivac
2021-02-14 18:24:18,greg william,"Haitian President reminds me of Trump, only wants POWER....aint nothing getting done in Haiti"
2021-02-14 18:24:44,Habib Wazir,AchA ap ossy ko doond rahee hu..
2021-02-14 18:24:51,meriqa,in case human due achieve perfection - arent stuck in limbo 
2021-02-14 18:24:54,Filmi Raaj,sovergient its true Quran pado aantankvadi bano😁🙄
2021-02-14 18:25:00,greg william,"the Black population in USA,,,spends more money Each year then entire Haitian government"
2021-02-14 18:25:03,Habib Wazir,:goodvibes::goodvibes::goodvibes:
2021-02-14 18:25:12,Alberto Bernal,@EMAD ZAK ANSWER THIS ??? WHERE IS THE HEART OF THE EARTH????
2021-02-14 18:25:16,Sigment,take your time. emad zak. i m not in hurry
2021-02-14 18:25:28,Filmi Raaj,habib haa aaj use sunana tha
2021-02-14 18:25:34,BuTtoN eYeS,Dontcha know👀..??...if you don't have the answer just type in bold type and sling insults👀..!!
2021-02-14 18:25:46,Habib Wazir,ya uper kya leek raha hu
2021-02-14 18:25:46,greg william,"Haitian government needs Real assistance,, Not small donations from Governments who care 2 craps about them"
2021-02-14 18:25:55,meriqa,so if second coming is a true than singularity must have happened. i think. 
2021-02-14 18:26:01,Sovereignmind 1969,you won't enjoy what comes after : see facebook
2021-02-14 18:26:10,Habib Wazir,kya
2021-02-14 18:26:11,greg william,"Haiti needs to Open up citizenship,, for wealthy Foreigners"
2021-02-14 18:26:28,i am F stop,🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟
2021-02-14 18:26:48,Filmi Raaj,habib pulwama attack ke baare me discussion karna tha nadia khan se😁😂
2021-02-14 18:27:01,greg william,"but if France is poor,,,what makes you think Haiti would be any different"
2021-02-14 18:27:05,meriqa,as mundayne end of times can sound Ide think. kinda romantic 
2021-02-14 18:27:09,Sigment,#Sovereignmind 1969 . What coming afterwards
2021-02-14 18:27:16,BuTtoN eYeS,you know👀..!!...like Trump's lawyers👀..!!..juss yell when you got nothin'..👀..!!
2021-02-14 18:27:24,anil kota,Very good discussion of the 1969 story 
2021-02-14 18:27:27,upetpada12,avit kek@tepikungpendek
2021-02-14 18:27:31,SUMON ISLAM,বাংলাদেশের কি হলো ?
2021-02-14 18:27:32,Sigment,emad zak u ran away? or What
2021-02-14 18:27:32,Alberto Bernal,YOU CAN BE SPIRITUALLY ALIVE BUT YOU CAN BE ASLEEP OR AWAKE IN CHRIST JESUS....
2021-02-14 18:27:33,Sovereignmind 1969,FORE NOW IS NOT THY TIME
2021-02-14 18:27:36,Habib Wazir,ya bathay churr du.. Yar.. social hu jao.. kal ka bathay kal thay
2021-02-14 18:27:39,emad zak,ALBERTO U KEEP FAILING WAT IS THAT SUPPOSE TO MEAN JONAS WAS CENTRES BEFORE JESUS U FOOL ARE USICK WHERE DO U LIVE I WILL LOOK SOME PSYCHIATRIST NEAR U AND MAIL THE BILL TOO IF U WANT@Alberto Bernal 
2021-02-14 18:27:46,upetpada12,kapten Jebat derhaka mnta pangkat dato Seri sbb dia ckap bnyk berjasa kpd negara ini. smpai dia prgi kursus di Itali selama 7thun semasa berkhidmat dlm ATM:oops::oops::oops:
2021-02-14 18:28:05,greg william,"look at Islands, St. Croix, St Johns, St Thomas,,,US Territories,,,like Guam, Hawaii Puerto Rico etc...these islands are near Haiti,,,but since they are US territories and Rich wealthy flock there"
2021-02-14 18:28:08,Sovereignmind 1969,EPISTLE OF JUDE IS
2021-02-14 18:28:12,anil kota,What is the purpose 
2021-02-14 18:28:13,Filmi Raaj,hum indian hai kabhi nahi bhulte habib
2021-02-14 18:28:29,greg william,all of these islands look beautiful
2021-02-14 18:28:31,i am F stop,🧟is bad🧟no bad🧟is bad🧟no bad iam fake text
2021-02-14 18:28:41,Alberto Bernal,@EMAD ZAK WHERE'S THE HEART OF THE EARTH???
2021-02-14 18:28:58,greg william,you can get killed there though. Real Caribbean Pirates down there
2021-02-14 18:28:57,emad zak,DID JONAS DIE?
2021-02-14 18:29:16,Ashiq Muhammad,I am watching in Bangladesh I am watching in Bangladesh
2021-02-14 18:29:22,Habib Wazir,hum Be Nahi bulthy ham Pakistani ha.. our per Pakistan may Pakhtun ha. ap ko patha ha . Pakhtun ka... bas samj jao
2021-02-14 18:29:27,Filmi Raaj,:yougotthis:
2021-02-14 18:29:38,greg william,"Jonah in the whale, near Babylon...THought hed be wasting his time Telling people Gods words"
2021-02-14 18:30:02,Alberto Bernal,MOST PEOPLE ARE ASLEEP IN THE SPIRIT..... AND NOT AWAKE IN CHRIST ....
2021-02-14 18:30:03,Filmi Raaj,habib aap Pakistan se ho
2021-02-14 18:30:14,Habib Wazir,g
2021-02-14 18:30:27,Alberto Bernal,NO JONAS DID NOT DIE....
2021-02-14 18:30:33,Habib Wazir,from the heart of Pakistan lahore
2021-02-14 18:30:49,Horror Slash Comedy Show,Brain= portugal-spain. Soul=korea. Heart=New York. 
2021-02-14 18:30:53,Zebra Time,"Screech died of lung cancer, Erkel's next"
2021-02-14 18:30:55,inas,who is Jonas?
2021-02-14 18:31:12,Filmi Raaj,Habib tumhe lagta hai ki kabhi india aur Pakistan friend ban sakte hai
2021-02-14 18:31:13,Habib Wazir,own location KPK. absolute on western border
2021-02-14 18:31:14,BuTtoN eYeS,"""feel like Jonah in the belly of the whale""..👀..??..remember that song👀..??"
2021-02-14 18:31:16,Alberto Bernal,@EMAD ZAK NOW TELL ME WHERE IS THE HEART OF THE WORLD....????
2021-02-14 18:31:17,emad zak,UR WICKED JESUS WAS NOT GOD @ALBERTO
2021-02-14 18:31:17,greg william,remember Peter thrice denied Christ...Peter Tosh...Peter...Peters (friend) came and demanded money but Peter had bruised head from police beatings...No concerts no money..Friend shot Peter in the head
2021-02-14 18:31:20,inas,who is screech
2021-02-14 18:31:39,emad zak,UR WICKED JESUS WAS NOT GOD @ALBERTO
2021-02-14 18:32:06,whistleblower gay biological man being feminine,emad zak what matter if jesus was god or not ? is all scam anyway
2021-02-14 18:32:13,Habib Wazir,ap parhtay hu.. agar parhthy hu tu per bathao wanga
2021-02-14 18:32:14,Alberto Bernal,@EMAD ZAK I KNOW JESUS IS NOT GOD... HE IS JUST A SERVANT OF ALLAH...
2021-02-14 18:32:17,Zebra Time,@inas Saved by the Bell character
2021-02-14 18:32:18,Julian D,religious figures are archetypes 
2021-02-14 18:32:19,Bob Jones,jesus-wejus 2000 years of fraud committed on mankind
2021-02-14 18:32:23,Sigment,emad zak. brb. i will ask question again
2021-02-14 18:32:50,emad zak,BEEF IS GOOD
2021-02-14 18:32:53,Horror Slash Comedy Show,"emad zak Correct, Jesus was not God. Jesus always gave glory to his Father. "
2021-02-14 18:33:03,greg william,congo is the size of all the countries in western europe put together
2021-02-14 18:33:07,Habib Wazir,q nahi ban saktha agar ham ya clashes khatam karlay..
2021-02-14 18:33:16,Julian D,eating animals is primitive 
2021-02-14 18:33:23,whistleblower gay biological man being feminine,"masculinity always atack 1 thing or the other thing , is not a surprise that god idea and masculinity even today create badness continuously"
2021-02-14 18:33:27,Filmi Raaj,habib india to ban sakta hai par Pakistan territories hai isliye vo aapko pata hoga
2021-02-14 18:33:27,Julian D,and dirty 
2021-02-14 18:33:29,Sigment,why you avoiding this question. you are ashamed of your lack of knowledge or what?
2021-02-14 18:33:35,Sigment,temm me emad zak
2021-02-14 18:33:44,emad zak,AS A PROPHET LIKE THOSE WHO PASSED HIM YES @HORROR
2021-02-14 18:33:46,Zebra Time,and delicious
2021-02-14 18:34:09,Sigment,Julian D. animals eat animals. why care about dirty animals so much?
2021-02-14 18:34:12,Julian D,and disgusting 
2021-02-14 18:34:13,MrPleiadian,teling me what to do is also pripitive !!!!!!
2021-02-14 18:34:15,emad zak,VALENTINE!!!!
2021-02-14 18:34:27,carbikenetwork,my god is the only true god - god of universe - father of all gods 
2021-02-14 18:34:42,Sigment,what emad zak
2021-02-14 18:34:55,MrPleiadian,HAHAHAHAHAH FATHER OF ALL GOD ; IDIOOT
2021-02-14 18:35:00,Vikram Arora,hi
2021-02-14 18:35:06,carbikenetwork,"our religion is the only true religion - and the others are (satan) and far, far away in the darknes "
2021-02-14 18:35:07,whistleblower gay biological man being feminine,carbikenetwork god idea is a lie
2021-02-14 18:35:11,Habib Wazir,duno ban saktha ha.. agar ek dusara hath barhai. ya koi eysa mokhlas bech ma agai jo . faisla sahi ka hamel hu
2021-02-14 18:35:11,duncan yourmate,"religion , please , you keep yours i respect , "
2021-02-14 18:35:22,emad zak,I LOVE THE BEEF AND U SHOWER IN ITS DUNG THATS THE DIFFERENCE @Sigment 
2021-02-14 18:35:35,Sigment,give me verse from your scripture where there is mention of 'return'?
2021-02-14 18:35:42,carbikenetwork,my father is stronger than your father 
2021-02-14 18:35:46,BuTtoN eYeS,"I'll eat the neighbors pitt bull if I'm starving to death👀..!!..but in the meantime, don't eat animals👀..!!"
2021-02-14 18:35:51,delritmo la clave,DICTATOR'ship's !!!!
2021-02-14 18:36:01,Dennis,so whats with this myanmar bs i keep hearing about. why not just call it burma?
2021-02-14 18:36:03,Sigment,i never showered in any dung. note it in diary.
2021-02-14 18:36:03,Sigment,you are just angry
2021-02-14 18:36:10,Sigment,since you have no answer.
2021-02-14 18:36:19,delritmo la clave,pheodale DICTATOR'ship's
2021-02-14 18:36:20,emad zak,NO AM NOT VALENTINE
2021-02-14 18:36:22,greg william,"kings in middle east back then had good relationship with Africa,,,,like UK and USA good relationship,,,nowadays,,,Bahrain only knows Tunisia and Egypt"
2021-02-14 18:36:24,sldtva _93,i slept a whole day hungover
2021-02-14 18:36:39,carbikenetwork,my mother can co ok better than your mother
2021-02-14 18:36:39,Sigment,yes you r clearly
2021-02-14 18:36:42,Habib Wazir,hum human being ha. ya important ha.. ya important nahi ha. ka kon kon ha
2021-02-14 18:36:46,Horror Slash Comedy Show," emad zak You are nearly right. He was born of our creator, he had no human father. He only 23 DNA strands from his mother. the other 23 was missing. Son of God"
2021-02-14 18:36:52,Sigment,you won't be talking trash but giving answer instead
2021-02-14 18:36:56,Sigment,otherwise
2021-02-14 18:37:02,whistleblower gay biological man being feminine,hug broly
2021-02-14 18:37:03,delritmo la clave,religion is always the excuse the opium of DICTATOR'ship's
2021-02-14 18:37:11,Sigment,you are angry...since you have no clear cut answer...but an assumption
2021-02-14 18:37:14,carbikenetwork,my sister is beautifuler than your sister
2021-02-14 18:37:31,Ack Jass,my father cooks better than my mother 
2021-02-14 18:37:32,Jay 2Z, lol
2021-02-14 18:37:40,duncan yourmate,"when you dead your dead , full stop "
2021-02-14 18:37:40,carbikenetwork,my brother have more muscle than your brother
2021-02-14 18:37:46,Julian D,exactly my point... what separates us from wild animals @Sigment 
2021-02-14 18:37:46,emad zak,LOL;
2021-02-14 18:37:57,sldtva _93,i should go back to sleep
2021-02-14 18:38:01,duncan yourmate,"please no religion , find common ground "
2021-02-14 18:38:07,carbikenetwork,our clan have more member than your group
2021-02-14 18:38:07,i am F stop,:buffering:iam fack stop:buffering:
2021-02-14 18:38:12,Arjumand Recipes,helo world
2021-02-14 18:38:15,Arjumand Recipes,how r u all
2021-02-14 18:38:16,Arjumand Recipes,🙂
2021-02-14 18:38:22,inas,horror dna weren't still discovered at the time how do you know?
2021-02-14 18:38:27,emad zak,U CANT BE PROUD OF WAT U BELIEVE SO WHY U SO INTRESTED ?
2021-02-14 18:38:33,Habib Wazir,not well
2021-02-14 18:38:36,Sigment,its the obvious difference
2021-02-14 18:38:38,carbikenetwork,we love people - and we don't tolerate dissidents and unbeliever
2021-02-14 18:38:49,Julian D,we don't need to eat animals anymore. we've evolved 
2021-02-14 18:38:53,greg william,demoncratic restupid government
2021-02-14 18:38:59,emad zak,UR FOKED LOL
2021-02-14 18:39:00,Cryptameria•,"I am well @Arjumand Recipes, hope you are having a good day"
2021-02-14 18:39:09,delritmo la clave,"w'ere are the jews , the LGBTQ , the leftist's...the socialist !??? the intellectuals....all in prison ???? lololol !!!! totalitarisme ??????"
2021-02-14 18:39:10,carbikenetwork,we send our militäry to your country and we destroy it
2021-02-14 18:39:12,Sigment,#Julian D . Who say.
2021-02-14 18:39:15,delritmo la clave,lol !
2021-02-14 18:39:16,emad zak,I BELIEVE ;
2021-02-14 18:39:16,Julian D,you're primitive 
2021-02-14 18:39:19,i am F stop,massons na🍫:buffering:🇷🇺iam fak:buffering:
2021-02-14 18:39:25,Julian D,and dumb
2021-02-14 18:39:39,greg william,remember the King of Babylon need Gods prophet Daniel to understand .... what his people needed
2021-02-14 18:39:48,emad zak,WAT DO U BELIEVE ! ITS A SECRET IS THAT INTELLEGBT TO SAY IF U CANT DEFEND WAT U BELIEVE INSTAED 
2021-02-14 18:39:50,carbikenetwork,after that your people speak our language and move in to our country
2021-02-14 18:39:59,i am F stop,massons na 🍫islam
2021-02-14 18:40:06,delritmo la clave,REPTILIEN brain's ....pheodalism
2021-02-14 18:40:06,Alberto Bernal,JESUS CHRIST CRUCIFIED HIMSELF TALKING ABOUT HIS FLESH.....
2021-02-14 18:40:07,emad zak,WHY ARE SO INTERSTED FOOL!
2021-02-14 18:40:08,Sigment,i m no tprimitive anymore
2021-02-14 18:40:28,carbikenetwork,"1. Corinthians 13:4 apostle paul said - ''love is patient, love is kind - It does not envy, it does not boast, it is not proud'' "
2021-02-14 18:40:46,i am F stop,bebli:buffering::learning:iam fack:learning:
2021-02-14 18:40:52,emad zak,I ALREADY GAVE U THE VERSE READ BACK BACK TO ME U READ IT TELL ME WHERE U CANT SEE
2021-02-14 18:40:53,Rajesh Upadhyay,its sad to hear about HOSPITALIZATION OF PANKAJ UDHAS IN KIDNEY FAILURE
2021-02-14 18:40:59,delritmo la clave,it's not about religions but 'POWER and money !!! égoïsme at it's must !!!!
2021-02-14 18:41:11,duncan yourmate,"please no religion , divides worse than TRUMP "
2021-02-14 18:41:35,Rajesh Upadhyay,:thanksdoc:hope both kidneys of PANKAJ UDHAS are transplanted well at AIIIMS
2021-02-14 18:41:45,sldtva _93,my cigarette made me super dozzy
2021-02-14 18:41:49,greg william,"Arab countries are springing but Turning their back on the U.S. at the same time...Only looking to the U.S. for Weapons sales,, nothing else,, Maybe a loan"
2021-02-14 18:41:52,sldtva _93,dizzy
2021-02-14 18:42:06,delritmo la clave,corrupt prime minister !! nothing will change !!! hahahaha hahahaha hahahaha... DICTATOR'ship's bank account's !!!!!
2021-02-14 18:42:09,inas,he said that Jesus has only 23 chromosomes
2021-02-14 18:42:10,sldtva _93,i wanna die
2021-02-14 18:42:15,Arun Arun,:thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc:help me God s family in India 👍🙏🙏🙏🙏🙏🙏🙏. by 9
2021-02-14 18:42:16,Sigment,emad zak. it deosnt mention of 'return'...u must agree
2021-02-14 18:42:19,sldtva _93,jk
2021-02-14 18:42:24,Rajesh Upadhyay,:thanksdoc:Without KIDNEYS LIFE is difficult.......
2021-02-14 18:42:27,emad zak,HOW?
2021-02-14 18:42:30,Sigment,be a proud person by admit it
2021-02-14 18:42:33,duncan yourmate,RELIGION IS ALL THINGS TO ALL PPL WHO CARES 
2021-02-14 18:42:38,inas,i just cant imagine how he know that? 😆
2021-02-14 18:42:38,emad zak,WAT DOES IT SPEAK OF IDIOT?
