,message,neutral-score,negative-score,positive-score,label
120,that place is really named after guinea pig? like cuisine i hear,0.815,0.0,0.185,Neutral
121,watered downed depends on q,1.0,0.0,0.0,Neutral
122,yes👀..!!...i have a us hut👀..!!,0.608,0.0,0.392,Neutral
123,how i s the election vote,1.0,0.0,0.0,Neutral
124,you will beat me to make me eat it?,1.0,0.0,0.0,Neutral
125,we are justified by faith nit by the works of the law.....,0.645,0.0,0.355,Neutral
126,and ebola disapeared after few year,1.0,0.0,0.0,Neutral
127,abolla virus.. is another virus which is to dangerous.,0.721,0.279,0.0,Neutral
128,pakistani quran pado aantankvadi bano😁,0.75,0.0,0.25,Neutral
129,#alberto bernal . why there will be mention of 2nd coming when there was no 1st coming?,0.879,0.121,0.0,Neutral
130,cap actually makes the statement less impressionable.,0.846,0.154,0.0,Neutral
131,im realizing that some works and faith can save you...,0.571,0.0,0.429,Neutral
132,mention of 2nd coming was mentioned after or during 1st coming.,1.0,0.0,0.0,Neutral
133,it makes sense.,1.0,0.0,0.0,Neutral
134,habiba nadia khan?,1.0,0.0,0.0,Neutral
135,answer the dung eater alberto,1.0,0.0,0.0,Neutral
136,i wonder if ebola can spread by water droplets from sneezing like covid19,0.828,0.0,0.172,Neutral
137,the dems tried to stop investigating 2020 presidential elections and ensure that they don`t have to face too popular trump at future elections. those were the real reasons for their phony legal case.,0.761,0.058,0.181,Neutral
138,pata nahi lagtha,1.0,0.0,0.0,Neutral
139,al jazeera brothers bangladesh's situation is very bad prime minister is torturing the people corruption cases are making people disappear police are secretly taking people from house to house,0.728,0.272,0.0,Neutral
140,emad zak. now you team up with #alberto bernal,1.0,0.0,0.0,Neutral
141,how come?,1.0,0.0,0.0,Neutral
142,lol,0.0,0.0,1.0,Positive
143,i am alone.,0.5,0.5,0.0,Negative
144,ma abi aya,1.0,0.0,0.0,Neutral
145,but if you have ebola youll be so sick you wont be able to spread it unless somebody touches your fluids,0.773,0.227,0.0,Neutral
146,no am giving u to him,0.486,0.514,0.0,Negative
147,habiba nadia aaj aai hi nahi?,1.0,0.0,0.0,Neutral
148,lol,0.0,0.0,1.0,Positive
149,emad zak. why you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.,0.87,0.13,0.0,Neutral
150,second coming signifies a begining. because biblical cataclysm. so not eternium.,1.0,0.0,0.0,Neutral
151,i have a biggest medivac,1.0,0.0,0.0,Neutral
152,"haitian president reminds me of trump, only wants power....aint nothing getting done in haiti",1.0,0.0,0.0,Neutral
153,acha ap ossy ko doond rahee hu..,1.0,0.0,0.0,Neutral
154,in case human due achieve perfection - arent stuck in limbo,0.623,0.0,0.377,Neutral
155,sovergient its true quran pado aantankvadi bano😁🙄,0.707,0.0,0.293,Neutral
156,"the black population in usa,,,spends more money each year then entire haitian government",1.0,0.0,0.0,Neutral
157,:goodvibes::goodvibes::goodvibes:,1.0,0.0,0.0,Neutral
158,zak answer this ??? where is the heart of the earth????,0.66,0.0,0.34,Neutral
159,take your time. emad zak. i m not in hurry,1.0,0.0,0.0,Neutral
160,habib haa aaj use sunana tha,1.0,0.0,0.0,Neutral
161,dontcha know👀..??...if you don't have the answer just type in bold type and sling insults👀..!!,0.703,0.175,0.122,Neutral
162,ya uper kya leek raha hu,1.0,0.0,0.0,Neutral
163,"haitian government needs real assistance,, not small donations from governments who care 2 craps about them",0.824,0.0,0.176,Neutral
164,so if second coming is a true than singularity must have happened. i think.,0.823,0.0,0.177,Neutral
165,you won't enjoy what comes after : see facebook,0.753,0.247,0.0,Neutral
166,kya,1.0,0.0,0.0,Neutral
167,"haiti needs to open up citizenship,, for wealthy foreigners",0.762,0.0,0.238,Neutral
168,🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟,1.0,0.0,0.0,Neutral
169,habib pulwama attack ke baare me discussion karna tha nadia khan se😁😂,0.604,0.168,0.228,Neutral
170,"but if france is poor,,,what makes you think haiti would be any different",1.0,0.0,0.0,Neutral
171,as mundayne end of times can sound ide think. kinda romantic,0.806,0.0,0.194,Neutral
172,#sovereignmind 1969 . what coming afterwards,1.0,0.0,0.0,Neutral
173,you know👀..!!...like trump's lawyers👀..!!..juss yell when you got nothin'..👀..!!,1.0,0.0,0.0,Neutral
174,very good discussion of the 1969 story,0.653,0.0,0.347,Neutral
175,avit kek@tepikungpendek,1.0,0.0,0.0,Neutral
176,বাংলাদেশের কি হলো ?,1.0,0.0,0.0,Neutral
177,emad zak u ran away? or what,1.0,0.0,0.0,Neutral
178,you can be spiritually alive but you can be asleep or awake in christ jesus....,0.886,0.0,0.114,Neutral
179,fore now is not thy time,1.0,0.0,0.0,Neutral
180,ya bathay churr du.. yar.. social hu jao.. kal ka bathay kal thay,1.0,0.0,0.0,Neutral
181,alberto u keep failing wat is that suppose to mean jonas was centres before jesus u fool are usick where do u live i will look some psychiatrist near u and mail the bill too if u want@alberto bernal,0.856,0.144,0.0,Neutral
182,kapten jebat derhaka mnta pangkat dato seri sbb dia ckap bnyk berjasa kpd negara ini. smpai dia prgi kursus di itali selama 7thun semasa berkhidmat dlm atm:oops::oops::oops:,1.0,0.0,0.0,Neutral
183,"look at islands, st. croix, st johns, st thomas,,,us territories,,,like guam, hawaii puerto rico etc...these islands are near haiti,,,but since they are us territories and rich wealthy flock there",0.816,0.0,0.184,Neutral
184,epistle of jude is,1.0,0.0,0.0,Neutral
185,what is the purpose,1.0,0.0,0.0,Neutral
186,hum indian hai kabhi nahi bhulte habib,1.0,0.0,0.0,Neutral
187,all of these islands look beautiful,0.562,0.0,0.438,Neutral
188,🧟is bad🧟no bad🧟is bad🧟no bad iam fake text,0.26,0.74,0.0,Negative
189,zak where's the heart of the earth???,0.559,0.0,0.441,Neutral
190,you can get killed there though. real caribbean pirates down there,0.69,0.31,0.0,Neutral
191,did jonas die?,0.339,0.661,0.0,Negative
192,i am watching in bangladesh i am watching in bangladesh,1.0,0.0,0.0,Neutral
193,hum be nahi bulthy ham pakistani ha.. our per pakistan may pakhtun ha. ap ko patha ha . pakhtun ka... bas samj jao,0.902,0.0,0.098,Neutral
194,:yougotthis:,1.0,0.0,0.0,Neutral
195,"jonah in the whale, near babylon...thought hed be wasting his time telling people gods words",0.838,0.162,0.0,Neutral
196,most people are asleep in the spirit..... and not awake in christ ....,0.876,0.0,0.124,Neutral
197,habib aap pakistan se ho,1.0,0.0,0.0,Neutral
198,g,1.0,0.0,0.0,Neutral
199,no jonas did not die....,0.359,0.264,0.377,Positive
200,from the heart of pakistan lahore,0.543,0.0,0.457,Neutral
201,brain= portugal-spain. soul=korea. heart=new york.,1.0,0.0,0.0,Neutral
202,"screech died of lung cancer, erkel's next",0.385,0.615,0.0,Negative
203,who is jonas?,1.0,0.0,0.0,Neutral
204,habib tumhe lagta hai ki kabhi india aur pakistan friend ban sakte hai,0.618,0.202,0.18,Neutral
205,own location kpk. absolute on western border,1.0,0.0,0.0,Neutral
206,"""feel like jonah in the belly of the whale""..👀..??..remember that song👀..??",0.776,0.0,0.224,Neutral
207,zak now tell me where is the heart of the world....????,0.66,0.0,0.34,Neutral
208,ur wicked jesus was not god,0.434,0.566,0.0,Negative
209,remember peter thrice denied christ...peter tosh...peter...peters (friend) came and demanded money but peter had bruised head from police beatings...no concerts no money..friend shot peter in the head,0.735,0.198,0.067,Neutral
210,who is screech,1.0,0.0,0.0,Neutral
211,ur wicked jesus was not god,0.434,0.566,0.0,Negative
212,emad zak what matter if jesus was god or not ? is all scam anyway,0.635,0.196,0.169,Neutral
213,ap parhtay hu.. agar parhthy hu tu per bathao wanga,1.0,0.0,0.0,Neutral
214,zak i know jesus is not god... he is just a servant of allah...,0.878,0.122,0.0,Neutral
215,saved by the bell character,0.588,0.0,0.412,Neutral
216,religious figures are archetypes,1.0,0.0,0.0,Neutral
217,jesus-wejus 2000 years of fraud committed on mankind,0.504,0.319,0.176,Neutral
218,emad zak. brb. i will ask question again,1.0,0.0,0.0,Neutral
219,beef is good,0.408,0.0,0.592,Positive
220,"emad zak correct, jesus was not god. jesus always gave glory to his father.",0.693,0.105,0.202,Neutral
221,congo is the size of all the countries in western europe put together,1.0,0.0,0.0,Neutral
222,q nahi ban saktha agar ham ya clashes khatam karlay..,0.714,0.286,0.0,Neutral
223,eating animals is primitive,1.0,0.0,0.0,Neutral
224,"masculinity always atack 1 thing or the other thing , is not a surprise that god idea and masculinity even today create badness continuously",0.777,0.067,0.155,Neutral
225,habib india to ban sakta hai par pakistan territories hai isliye vo aapko pata hoga,0.795,0.205,0.0,Neutral
226,and dirty,0.256,0.744,0.0,Negative
227,why you avoiding this question. you are ashamed of your lack of knowledge or what?,0.606,0.394,0.0,Neutral
228,temm me emad zak,1.0,0.0,0.0,Neutral
229,as a prophet like those who passed him yes,0.574,0.0,0.426,Neutral
230,and delicious,0.213,0.0,0.787,Positive
231,julian d. animals eat animals. why care about dirty animals so much?,0.621,0.18,0.199,Neutral
232,and disgusting,0.227,0.773,0.0,Negative
233,teling me what to do is also pripitive !!!!!!,1.0,0.0,0.0,Neutral
234,valentine!!!!,1.0,0.0,0.0,Neutral
235,my god is the only true god - god of universe - father of all gods,0.569,0.0,0.431,Neutral
236,what emad zak,1.0,0.0,0.0,Neutral
237,hahahahahah father of all god ; idioot,0.741,0.0,0.259,Neutral
238,hi,1.0,0.0,0.0,Neutral
239,"our religion is the only true religion - and the others are (satan) and far, far away in the darknes",0.872,0.0,0.128,Neutral
240,carbikenetwork god idea is a lie,0.704,0.0,0.296,Neutral
241,duno ban saktha ha.. agar ek dusara hath barhai. ya koi eysa mokhlas bech ma agai jo . faisla sahi ka hamel hu,0.859,0.141,0.0,Neutral
242,"religion , please , you keep yours i respect ,",0.597,0.0,0.403,Neutral
243,i love the beef and u shower in its dung thats the difference,0.741,0.0,0.259,Neutral
244,give me verse from your scripture where there is mention of 'return'?,1.0,0.0,0.0,Neutral
245,my father is stronger than your father,0.698,0.0,0.302,Neutral
246,"i'll eat the neighbors pitt bull if i'm starving to death👀..!!..but in the meantime, don't eat animals👀..!!",0.684,0.316,0.0,Neutral
247,dictator'ship's !!!!,1.0,0.0,0.0,Neutral
248,so whats with this myanmar bs i keep hearing about. why not just call it burma?,1.0,0.0,0.0,Neutral
249,i never showered in any dung. note it in diary.,1.0,0.0,0.0,Neutral
250,you are just angry,0.476,0.524,0.0,Negative
251,since you have no answer.,0.645,0.355,0.0,Neutral
252,pheodale dictator'ship's,1.0,0.0,0.0,Neutral
253,no am not valentine,0.577,0.423,0.0,Neutral
254,"kings in middle east back then had good relationship with africa,,,,like uk and usa good relationship,,,nowadays,,,bahrain only knows tunisia and egypt",0.766,0.0,0.234,Neutral
255,i slept a whole day hungover,1.0,0.0,0.0,Neutral
256,my mother can co ok better than your mother,0.579,0.0,0.421,Neutral
257,yes you r clearly,0.27,0.0,0.73,Positive
258,hum human being ha. ya important ha.. ya important nahi ha. ka kon kon ha,0.667,0.0,0.333,Neutral
259,"emad zak you are nearly right. he was born of our creator, he had no human father. he only 23 dna strands from his mother. the other 23 was missing. son of god",0.822,0.121,0.058,Neutral
260,you won't be talking trash but giving answer instead,0.721,0.0,0.279,Neutral
261,otherwise,1.0,0.0,0.0,Neutral
262,hug broly,0.244,0.0,0.756,Positive
263,religion is always the excuse the opium of dictator'ship's,0.86,0.0,0.14,Neutral
264,you are angry...since you have no clear cut answer...but an assumption,0.692,0.168,0.14,Neutral
265,my sister is beautifuler than your sister,0.659,0.0,0.341,Neutral
266,my father cooks better than my mother,0.674,0.0,0.326,Neutral
267,lol,0.0,0.0,1.0,Positive
268,"when you dead your dead , full stop",0.316,0.684,0.0,Negative
269,my brother have more muscle than your brother,1.0,0.0,0.0,Neutral
270,exactly my point... what separates us from wild animals,1.0,0.0,0.0,Neutral
271,lol;,0.0,0.0,1.0,Positive
272,i should go back to sleep,1.0,0.0,0.0,Neutral
273,"please no religion , find common ground",0.526,0.232,0.242,Neutral
274,our clan have more member than your group,1.0,0.0,0.0,Neutral
275,:buffering:iam fack stop:buffering:,1.0,0.0,0.0,Neutral
276,helo world,1.0,0.0,0.0,Neutral
277,how r u all,1.0,0.0,0.0,Neutral
278,🙂,0.425,0.0,0.575,Positive
279,horror dna weren't still discovered at the time how do you know?,0.748,0.252,0.0,Neutral
280,u cant be proud of wat u believe so why u so intrested ?,0.836,0.164,0.0,Neutral
281,not well,0.355,0.645,0.0,Negative
282,its the obvious difference,1.0,0.0,0.0,Neutral
283,we love people - and we don't tolerate dissidents and unbeliever,0.704,0.0,0.296,Neutral
284,we don't need to eat animals anymore. we've evolved,1.0,0.0,0.0,Neutral
285,demoncratic restupid government,1.0,0.0,0.0,Neutral
286,ur foked lol,0.417,0.0,0.583,Positive
287,"i am well recipes, hope you are having a good day",0.503,0.0,0.497,Neutral
288,"w'ere are the jews , the lgbtq , the leftist's...the socialist !??? the intellectuals....all in prison ???? lololol !!!! totalitarisme ??????",0.787,0.213,0.0,Neutral
289,we send our militäry to your country and we destroy it,0.741,0.259,0.0,Neutral
290,#julian d . who say.,1.0,0.0,0.0,Neutral
291,lol !,0.244,0.0,0.756,Positive
292,i believe ;,1.0,0.0,0.0,Neutral
293,you're primitive,1.0,0.0,0.0,Neutral
294,massons na🍫:buffering:🇷🇺iam fak:buffering:,1.0,0.0,0.0,Neutral
295,and dumb,0.233,0.767,0.0,Negative
296,remember the king of babylon need gods prophet daniel to understand .... what his people needed,1.0,0.0,0.0,Neutral
297,wat do u believe ! its a secret is that intellegbt to say if u cant defend wat u believe instaed,1.0,0.0,0.0,Neutral
298,after that your people speak our language and move in to our country,1.0,0.0,0.0,Neutral
299,massons na 🍫islam,1.0,0.0,0.0,Neutral
300,reptilien brain's ....pheodalism,1.0,0.0,0.0,Neutral
301,jesus christ crucified himself talking about his flesh.....,1.0,0.0,0.0,Neutral
302,why are so intersted fool!,0.535,0.465,0.0,Neutral
303,i m no tprimitive anymore,0.645,0.355,0.0,Neutral
304,"1. corinthians 13:4 apostle paul said - ''love is patient, love is kind - it does not envy, it does not boast, it is not proud''",0.565,0.069,0.366,Neutral
305,bebli:buffering::learning:iam fack:learning:,1.0,0.0,0.0,Neutral
306,i already gave u the verse read back back to me u read it tell me where u cant see,1.0,0.0,0.0,Neutral
307,its sad to hear about hospitalization of pankaj udhas in kidney failure,0.61,0.39,0.0,Neutral
308,it's not about religions but 'power and money !!! égoïsme at it's must !!!!,1.0,0.0,0.0,Neutral
309,"please no religion , divides worse than trump",0.397,0.421,0.183,Negative
310,:thanksdoc:hope both kidneys of pankaj udhas are transplanted well at aiiims,0.826,0.0,0.174,Neutral
311,my cigarette made me super dozzy,0.562,0.0,0.438,Neutral
312,"arab countries are springing but turning their back on the u.s. at the same time...only looking to the u.s. for weapons sales,, nothing else,, maybe a loan",0.871,0.129,0.0,Neutral
313,dizzy,0.0,1.0,0.0,Negative
314,corrupt prime minister !! nothing will change !!! hahahaha hahahaha hahahaha... dictator'ship's bank account's !!!!!,1.0,0.0,0.0,Neutral
315,he said that jesus has only 23 chromosomes,1.0,0.0,0.0,Neutral
316,i wanna die,0.339,0.661,0.0,Negative
317,:thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc:help me god s family in india 👍🙏🙏🙏🙏🙏🙏🙏. by 9,0.92,0.0,0.08,Neutral
318,emad zak. it deosnt mention of 'return'...u must agree,0.762,0.0,0.238,Neutral
319,jk,0.0,0.0,1.0,Positive
320,:thanksdoc:without kidneys life is difficult.......,0.615,0.385,0.0,Neutral
321,how?,1.0,0.0,0.0,Neutral
322,be a proud person by admit it,0.505,0.0,0.495,Neutral
323,religion is all things to all ppl who cares,0.727,0.0,0.273,Neutral
324,i just cant imagine how he know that? 😆,0.8,0.0,0.2,Neutral
325,wat does it speak of idiot?,0.602,0.398,0.0,Neutral
326,sldtva _93 marlboro a1.,1.0,0.0,0.0,Neutral
327,where does that verse mention of return...u drew conclusion einstein,1.0,0.0,0.0,Neutral
328,you need alka-seltzer👀..!!,1.0,0.0,0.0,Neutral
329,u read it right?,1.0,0.0,0.0,Neutral
330,christianity is a relationship with allah and islam ☪ is a work and faith to the salvation of allah.... two different things.... you choose....,0.899,0.0,0.101,Neutral
331,:thanksdoc:famous lawyer of divorce==== sushma swaraj died death due to kidney failure,0.455,0.545,0.0,Negative
332,horror you should give as where you read that jesus has only 23 dna 😆,0.708,0.175,0.118,Neutral
333,hug broly,0.244,0.0,0.756,Positive
334,emad zak. does that verse states these word-----------> i will return<----------?????,1.0,0.0,0.0,Neutral
335,assad pro putin,1.0,0.0,0.0,Neutral
336,😅😅😅😅sushma swaraj kidneys failed in advani presence,0.561,0.109,0.33,Neutral
337,"they pretend to forgive the u.s. for invading iraq....they are plotting on u.s.'s fall,,,following iranian rhetoric,.,iran stretches to mali even into south america...if iran gets to mexico its troubl",0.885,0.046,0.069,Neutral
338,reference reference reference so interesting this story of 23 dna,0.721,0.0,0.279,Neutral
339,hug broly .. why r u writing it always..say something new,0.763,0.0,0.237,Neutral
340,"sldtva _93 disconnect from internet. play scrabble, music instrument.",0.769,0.0,0.231,Neutral
341,i wil return lol,0.517,0.0,0.483,Neutral
342,:thanksdoc::dothefive:old age means kidney failures in politians and lawyers and doctors tooooo,0.786,0.214,0.0,Neutral
343,emad zak. is it mentioned?,1.0,0.0,0.0,Neutral
344,soriya soriya.............wh,1.0,0.0,0.0,Neutral
345,"duncan yourmate you said that religions mean everything , and that the issue that i see , bc everything could mean criminal activity , terorism , rape , sexual abuse",0.687,0.313,0.0,Neutral
346,hey horror do you hear me?,0.575,0.425,0.0,Neutral
347,matthew 7:15-23 - say something about mohammed,1.0,0.0,0.0,Neutral
348,lol,0.0,0.0,1.0,Positive
349,i am not a rapeist to any female ever........ok:buffering:,1.0,0.0,0.0,Neutral
350,gm infowarriors,1.0,0.0,0.0,Neutral
351,ok keep laughing,0.156,0.0,0.844,Positive
352,its already speaking of events on his return u bimbo,1.0,0.0,0.0,Neutral
353,"inas i think a day of your research, you will find your answer. look it up.",1.0,0.0,0.0,Neutral
354,you no answer any way,0.645,0.355,0.0,Neutral
355,wat a fo9ol,1.0,0.0,0.0,Neutral
356,ur a fool,0.408,0.592,0.0,Negative
357,wats ur believe oh its a secret,1.0,0.0,0.0,Neutral
358,pls.. don't mension religion. all the religion present are respected to the people related with his own religion,0.784,0.0,0.216,Neutral
359,lol,0.0,0.0,1.0,Positive
360,noooooooo,1.0,0.0,0.0,Neutral
361,lool,1.0,0.0,0.0,Neutral
362,"trump did see the b.s. tru mp killed iranian general because he knew his movement...but wars are dangerous...why christ said turn the other cheek,,,love your enemies,,,the bible or death",0.684,0.316,0.0,Neutral
363,lost dna,0.303,0.697,0.0,Negative
364,horror more simple if you give the reference font you thi k,0.748,0.252,0.0,Neutral
365,waste material,0.263,0.737,0.0,Negative
366,in other words.. don't connect with folks to dicuss isis symmetrical math,1.0,0.0,0.0,Neutral
367,u asume its speaking of events after return.,1.0,0.0,0.0,Neutral
368,god may get ride all people from covid-19,0.769,0.0,0.231,Neutral
369,its not lost dna. u say it can't be otherwise,0.821,0.0,0.179,Neutral
370,it is am not stupid its a prophecy to come,0.764,0.0,0.236,Neutral
371,isis was created by believers in god,0.549,0.0,0.451,Neutral
